service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
67701,1,1,1,1,1,0,0,20260106,20260331
67702,1,1,1,1,0,0,0,20260106,20260331
67703,0,1,1,1,1,0,0,20260106,20260331
67704,0,1,1,1,1,0,0,20260106,20260331
67705,0,0,0,0,1,0,0,20260106,20260331
67706,0,0,0,0,0,1,0,20260106,20260331
67707,0,0,0,0,0,1,0,20260106,20260331
67708,0,0,0,0,0,0,1,20260106,20260331
67709,0,0,0,0,0,0,1,20260106,20260331
67710,0,0,1,1,1,1,0,20260106,20260331
67711,0,1,1,1,1,1,0,20260106,20260331
67712,0,1,1,1,1,1,0,20260106,20260331
67713,1,0,0,0,0,0,0,20260106,20260331
67714,1,0,0,0,0,0,0,20260106,20260331
67715,1,0,0,0,0,0,0,20260106,20260331
67716,0,1,0,0,0,0,0,20260106,20260331
67717,0,1,0,0,0,0,0,20260106,20260331
67718,1,0,1,1,1,0,0,20260106,20260331
67719,1,0,1,1,1,0,0,20260106,20260331
67720,0,0,1,0,0,0,0,20260106,20260331
67721,0,0,1,0,0,0,0,20260106,20260331
67722,1,1,0,1,1,0,0,20260106,20260331
67723,1,1,0,1,1,0,0,20260106,20260331
67724,0,0,0,1,0,0,0,20260106,20260331
67725,0,0,0,1,0,0,0,20260106,20260331
67726,1,1,1,0,1,0,0,20260106,20260331
67727,1,1,1,0,1,0,0,20260106,20260331
67728,0,1,1,0,0,0,0,20260106,20260331
67729,0,1,1,0,0,0,0,20260106,20260331
67730,1,0,0,1,1,0,0,20260106,20260331
67731,1,0,0,1,1,0,0,20260106,20260331
67732,1,1,0,0,1,0,0,20260106,20260331
67733,1,1,0,0,1,0,0,20260106,20260331
67734,1,1,1,1,1,0,1,20260106,20260331
67735,1,1,1,1,1,0,1,20260106,20260331
67736,1,1,1,1,1,1,0,20260106,20260331
67737,1,1,1,1,1,1,0,20260106,20260331
67738,1,1,1,1,1,1,0,20260106,20260331
67739,1,1,1,1,1,0,0,20260106,20260331
67740,1,1,1,1,0,0,1,20260106,20260331
67741,0,1,1,0,1,0,0,20260106,20260331
67742,0,1,1,0,1,0,0,20260106,20260331
109001,1,1,1,1,1,0,0,20260106,20260331
109002,1,1,1,1,0,0,0,20260106,20260331
109003,0,1,1,1,1,0,0,20260106,20260331
109004,0,1,1,1,1,0,0,20260106,20260331
109005,0,0,0,0,1,0,0,20260106,20260331
109006,0,0,0,0,0,1,0,20260106,20260331
109007,0,0,0,0,0,1,0,20260106,20260331
109008,0,0,0,0,0,0,1,20260106,20260331
109009,0,0,0,0,0,0,1,20260106,20260331
109010,0,0,1,1,1,1,0,20260106,20260331
109011,0,1,1,1,1,1,0,20260106,20260331
109012,0,1,1,1,1,1,0,20260106,20260331
109013,1,0,0,0,0,0,0,20260106,20260331
109014,1,0,0,0,0,0,0,20260106,20260331
109015,1,0,0,0,0,0,0,20260106,20260331
109016,0,1,0,0,0,0,0,20260106,20260331
109017,0,1,0,0,0,0,0,20260106,20260331
109018,1,0,1,1,1,0,0,20260106,20260331
109019,1,0,1,1,1,0,0,20260106,20260331
109020,0,0,1,0,0,0,0,20260106,20260331
109021,0,0,1,0,0,0,0,20260106,20260331
109022,1,1,0,1,1,0,0,20260106,20260331
109023,1,1,0,1,1,0,0,20260106,20260331
109024,0,0,0,1,0,0,0,20260106,20260331
109025,0,0,0,1,0,0,0,20260106,20260331
109026,1,1,1,0,1,0,0,20260106,20260331
109027,1,1,1,0,1,0,0,20260106,20260331
109028,0,1,1,0,0,0,0,20260106,20260331
109029,0,1,1,0,0,0,0,20260106,20260331
109030,1,0,0,1,1,0,0,20260106,20260331
109031,1,0,0,1,1,0,0,20260106,20260331
109032,1,1,0,0,1,0,0,20260106,20260331
109033,1,1,0,0,1,0,0,20260106,20260331
109034,1,1,1,1,1,0,1,20260106,20260331
109035,1,1,1,1,1,0,1,20260106,20260331
109036,1,1,1,1,1,1,0,20260106,20260331
109037,1,1,1,1,1,1,0,20260106,20260331
109038,1,1,1,1,1,1,0,20260106,20260331
109039,1,1,1,1,1,0,0,20260106,20260331
109040,1,1,1,1,0,0,1,20260106,20260331
109041,0,1,1,0,1,0,0,20260106,20260331
109042,0,1,1,0,1,0,0,20260106,20260331
209001,1,1,1,1,1,0,0,20260106,20260331
