vid,tmstmp,lat,lon,hdg,pid,rt,des,pdist,dly,tatripid,origtatripno,tablockid,zone,mode,psgld,stst,stsd,pulled_at,rt_chunk
1279,20260218 17:31,41.87450408935547,-87.64242553710938,4,6351,1,34th/Michigan,630,False,344,273982269,1 -758,,1,N/A,62970,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
1003,20260218 17:31,41.878196428406916,-87.62813524929982,86,6351,1,34th/Michigan,5829,False,343,273982268,1 -755,,1,N/A,62250,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8680,20260218 17:31,41.865509033203125,-87.6241683959961,181,6351,1,34th/Michigan,11530,False,342,273982267,1 -753,,1,N/A,61560,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
1324,20260218 17:31,41.855253520764805,-87.6238784790039,0,8085,1,Union Station,8979,False,332,273982243,1 -756,,1,N/A,62580,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
1325,20260218 17:31,41.87934875488281,-87.6369400024414,268,8085,1,Union Station,21239,False,88355983,273982242,1 -754,,1,N/A,61380,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
1309,20260218 17:31,41.874893535267226,-87.64410799199885,215,8085,1,Union Station,24806,False,331,273982241,1 -752,,1,N/A,60630,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
7990,20260218 17:31,41.893341064453125,-87.62371664780837,270,5528,2,Cottage Grove/60th,4859,False,88356681,273985967,3 -751,,1,N/A,62520,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8471,20260218 17:31,41.88484989513051,-87.62790610573508,177,5528,2,Cottage Grove/60th,8777,False,88356681,273985966,2 -760,,1,N/A,61920,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
1086,20260218 17:31,41.87332978682085,-87.62764337713068,176,5528,2,Cottage Grove/60th,12990,False,88356681,273985965,2 -758,,1,N/A,61320,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
1270,20260218 17:31,41.82625961303711,-87.60111236572266,148,5528,2,Cottage Grove/60th,33233,False,88356681,273985964,2 -754,,1,N/A,60720,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8696,20260218 17:31,41.804578508649556,-87.58876691545758,166,5528,2,Cottage Grove/60th,42732,False,88356681,273985963,2 -761,,1,N/A,60120,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
1300,20260218 17:31,41.79507436984923,-87.60622982862519,175,5528,2,Cottage Grove/60th,51149,False,88356681,273985962,2 -755,,1,N/A,59400,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8458,20260218 17:31,41.785937482660465,-87.5994666706432,89,5531,2,Navy Pier,2146,False,88356681,273985998,2 -759,,1,N/A,62790,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
7926,20260218 17:31,41.84600830078125,-87.61138916015625,344,5531,2,Navy Pier,31764,False,88356681,273985982,2 -753,,1,N/A,62040,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
7914,20260218 17:30,41.87323835160997,-87.62748718261719,0,5531,2,Navy Pier,44072,False,88356681,273985981,2 -752,,1,N/A,61290,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
7995,20260218 17:31,41.8884391784668,-87.62439727783203,12,5531,2,Navy Pier,50589,False,88356681,273985980,2 -756,,1,N/A,60570,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
7917,20260218 17:31,41.89249089938491,-87.61125479171525,46,5531,2,Navy Pier,56591,False,88356681,273985979,2 -757,,1,N/A,59040,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
1219,20260218 17:31,41.89257666666666,-87.61111166666667,57,5531,2,Navy Pier,56641,False,88356681,273985978,2 -751,,1,N/A,59760,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
7959,20260218 17:31,41.720584869384766,-87.62364959716797,2,18414,3,Michigan/Chicago,63,False,88365461,273997086,3 -760,,1,N/A,63120,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8161,20260218 17:31,41.748291015625,-87.6148452758789,0,18414,3,Michigan/Chicago,12712,False,88365460,273997085,3 -754,,1,N/A,62460,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
7940,20260218 17:31,41.76408386230469,-87.61510467529297,348,18414,3,Michigan/Chicago,18495,False,88365459,273997084,3 -757,,1,N/A,61800,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
1339,20260218 17:31,41.801900957451494,-87.61605234615138,3,18414,3,Michigan/Chicago,32334,False,88365458,273997083,3 -752,,1,N/A,61140,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
1310,20260218 17:31,41.8165418587479,-87.61672180774165,359,18414,3,Michigan/Chicago,37706,False,88365457,273997082,3 -767,,1,N/A,60480,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
1338,20260218 17:31,41.84839630126953,-87.61748395647321,346,18414,3,Michigan/Chicago,49376,False,88365456,273997081,3 -719,,1,N/A,59820,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8679,20260218 17:31,41.8676509241904,-87.62405272453061,1,18414,3,Michigan/Chicago,57668,False,88365455,273997080,3 -711,,1,N/A,59160,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
1256,20260218 17:31,41.867684395082534,-87.62405075565461,0,18414,3,Michigan/Chicago,57681,False,88365454,273997079,3 -717,,1,N/A,58500,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
1340,20260218 17:31,41.8962984085083,-87.620361328125,181,18414,3,Michigan/Chicago,69457,False,88365453,273997078,3 -701,,1,N/A,57840,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
1317,20260218 17:31,41.893899645124165,-87.61991119384766,177,18414,3,Michigan/Chicago,70429,False,88365452,273997077,3 -725,,1,N/A,57180,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
7937,20260218 17:31,41.89353,-87.61988333333333,201,18415,3,95th Red Line,78,False,88365580,273997196,3 -753,,1,N/A,62940,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
1264,20260218 17:31,41.89677912394206,-87.62137807210287,268,18415,3,95th Red Line,1637,False,88365578,273997195,3 -761,,1,N/A,62580,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
1277,20260218 17:31,41.894647386338974,-87.6243290371365,179,18415,3,95th Red Line,3199,False,88365577,273997194,3 -759,,1,N/A,62250,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8410,20260218 17:31,41.894381089644,-87.62437716397372,179,18415,3,95th Red Line,3301,False,88365575,273997192,3 -723,,1,N/A,61590,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
7922,20260218 17:31,41.891235220021215,-87.62430335735452,178,18415,3,95th Red Line,4447,False,88365576,273997193,3 -758,,1,N/A,61920,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8674,20260218 17:30,41.86733436584473,-87.62419128417969,180,18415,3,95th Red Line,13200,False,88365574,273997191,3 -762,,1,N/A,61260,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8669,20260218 17:31,41.855627589755585,-87.62389373779297,179,18415,3,95th Red Line,17474,False,88365573,273997190,3 -709,,1,N/A,60930,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
7956,20260218 17:31,41.85324325561523,-87.6238395690918,178,18415,3,95th Red Line,18344,False,88365570,273997187,3 -765,,1,N/A,59940,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8148,20260218 17:31,41.85282897949219,-87.62133547154869,88,18415,3,95th Red Line,19170,False,88365572,273997189,3 -766,,1,N/A,60600,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
1221,20260218 17:31,41.838940262794495,-87.61749267578125,178,18415,3,95th Red Line,24876,False,88365571,273997188,3 -718,,1,N/A,60270,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8461,20260218 17:31,41.83205342696885,-87.61732482910156,178,18415,3,95th Red Line,27387,False,88365569,273997186,3 -727,,1,N/A,59610,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
7946,20260218 17:31,41.78777799935177,-87.61582946777344,180,18415,3,95th Red Line,43570,False,88365566,273997184,3 -763,,1,N/A,58980,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8143,20260218 17:31,41.78584289550781,-87.61581420898438,188,18415,3,95th Red Line,44280,False,88365568,273997185,3 -764,,1,N/A,59280,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8456,20260218 17:31,41.758573500836484,-87.6151614579998,180,18415,3,95th Red Line,54262,False,88365565,273997183,3 -712,,1,N/A,58620,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
7912,20260218 17:31,41.73898951212565,-87.61463261746812,179,18415,3,95th Red Line,61424,False,88365564,273997182,3 -755,,1,N/A,58170,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8544,20260218 17:31,41.73661780843929,-87.61457824707031,180,18415,3,95th Red Line,62289,False,88365563,273997181,3 -726,,1,N/A,57840,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
7969,20260218 17:31,41.72375603878137,-87.61418914794922,178,18415,3,95th Red Line,66979,False,88365562,273997180,3 -714,,1,N/A,57510,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8157,20260218 17:31,41.72195442199707,-87.61433044433593,271,18415,3,95th Red Line,67685,False,88365560,273997179,3 -724,,1,N/A,57150,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8697,20260218 17:31,41.68577575683594,-87.6124267578125,25,19378,4,Illinois Center,40,False,88362315,273985770,4 -722,,1,N/A,63210,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8911,20260218 17:31,41.707401969216086,-87.60654241388494,11,19378,4,Illinois Center,9254,False,88362282,273985737,4 -709,,1,N/A,62610,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
1348,20260218 17:31,41.736459732055664,-87.60472215924945,358,19378,4,Illinois Center,20243,False,88362314,273985769,4 -752,,1,N/A,62010,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
1101,20260218 17:31,41.76277542114258,-87.6054458618164,358,19378,4,Illinois Center,29857,False,88362281,273985736,4 -754,,1,N/A,61440,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
1320,20260218 17:31,41.780738310380414,-87.605938651345,0,19378,4,Illinois Center,36438,False,88362313,273985767,4 -707,,1,N/A,60870,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8570,20260218 17:31,41.79613527570452,-87.6061782836914,359,19378,4,Illinois Center,42069,False,88362280,273985734,4 -720,,1,N/A,60270,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8146,20260218 17:31,41.822220952887285,-87.6067960638749,0,19378,4,Illinois Center,51612,False,88362312,273985766,4 -703,,1,N/A,59670,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8550,20260218 17:31,41.822229084215664,-87.60679626464844,0,19378,4,Illinois Center,51615,False,88362279,273985733,4 -751,,1,N/A,59070,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8621,20260218 17:31,41.866263156467014,-87.62406294080947,353,19378,4,Illinois Center,71190,False,88362278,273985732,4 -714,,1,N/A,57870,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
1004,20260218 17:31,41.86679161919488,-87.62407684326172,354,19378,4,Illinois Center,71383,False,88362311,273985765,4 -717,,1,N/A,58470,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8947,20260218 17:31,41.88503,-87.62007166666666,359,19379,4,115th,0,False,88362400,273985852,4 -701,,1,N/A,63750,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
1232,20260218 17:31,41.88520050048828,-87.62055206298828,6,19379,4,115th,120,False,88362399,273985851,4 -756,,1,N/A,63150,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
1217,20260218 17:31,41.88396299646256,-87.62454012607006,183,19379,4,115th,3760,False,88362398,273985850,4 -711,,1,N/A,62550,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
