vid,tmstmp,lat,lon,hdg,pid,rt,des,pdist,dly,tatripid,origtatripno,tablockid,zone,mode,psgld,stst,stsd,pulled_at,rt_chunk
7967,20260219 23:38,41.834482036653114,-87.61695861816406,3,18414,3,Michigan/Chicago,44274,False,398,273997116,3 -773,,1,N/A,83040,2026-02-19,2026-02-19 23:38:59 CST,"1,2,3,4,X4,N5,6,7,8,8A"
1348,20260219 23:38,41.87484686715262,-87.62417602539062,358,18414,3,Michigan/Chicago,60293,False,88365493,273997115,3 -717,,1,N/A,82020,2026-02-19,2026-02-19 23:38:59 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8679,20260219 23:38,41.89527014027471,-87.6203384399414,1,18415,3,95th Red Line,804,False,88365629,273997232,3 -770,,1,N/A,84840,2026-02-19,2026-02-19 23:38:59 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8686,20260219 23:38,41.86929108260514,-87.62418365478516,181,18415,3,95th Red Line,12491,False,88365628,273997231,3 -709,,1,N/A,84090,2026-02-19,2026-02-19 23:38:59 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8901,20260219 23:38,41.85082801612648,-87.6190414428711,179,18415,3,95th Red Line,20431,False,1080329,273997230,3 -775,,1,N/A,83340,2026-02-19,2026-02-19 23:38:59 CST,"1,2,3,4,X4,N5,6,7,8,8A"
7954,20260219 23:38,41.80596180966026,-87.61656081885623,179,18415,3,95th Red Line,36930,False,88365627,273997229,3 -715,,1,N/A,82560,2026-02-19,2026-02-19 23:38:59 CST,"1,2,3,4,X4,N5,6,7,8,8A"
7917,20260219 23:38,41.76929975237165,-87.61542750767299,178,18415,3,95th Red Line,50347,False,88365617,273997228,3 -774,,1,N/A,81570,2026-02-19,2026-02-19 23:38:59 CST,"1,2,3,4,X4,N5,6,7,8,8A"
1095,20260219 23:38,41.718207768031526,-87.62322499800702,345,18415,3,95th Red Line,73425,False,1080326,273997227,3 -772,,1,N/A,80700,2026-02-19,2026-02-19 23:38:59 CST,"1,2,3,4,X4,N5,6,7,8,8A"
1092,20260219 23:38,41.87836296613826,-87.62421062380768,355,19378,4,Illinois Center,75600,False,88362334,273985786,4 -757,,1,N/A,81000,2026-02-19,2026-02-19 23:38:59 CST,"1,2,3,4,X4,N5,6,7,8,8A"
1338,20260219 23:38,41.79487331842972,-87.60614763680151,2,25899,4,Illinois Center,41609,False,88358083,273985936,4 -759,,1,N/A,83100,2026-02-19,2026-02-19 23:38:59 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8467,20260219 23:38,41.849594822636355,-87.62364366319444,355,25899,4,Illinois Center,65130,False,88362231,273985689,4 -760,,1,N/A,81900,2026-02-19,2026-02-19 23:38:59 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8140,20260219 23:38,41.8815224387429,-87.62446351484819,179,28327,4,95th Red Line,4648,False,88362431,273985880,4 -762,,1,N/A,84720,2026-02-19,2026-02-19 23:38:59 CST,"1,2,3,4,X4,N5,6,7,8,8A"
1308,20260219 23:38,41.84355576184331,-87.62358856201172,178,28327,4,95th Red Line,18544,False,88362429,273985881,4 -715,,1,N/A,83700,2026-02-19,2026-02-19 23:38:59 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8609,20260219 23:38,41.801134167295515,-87.60639213793206,177,28327,4,95th Red Line,37637,False,88362428,273985879,4 -761,,1,N/A,82740,2026-02-19,2026-02-19 23:38:59 CST,"1,2,3,4,X4,N5,6,7,8,8A"
1212,20260219 23:38,41.750008477105034,-87.60526487562392,180,28327,4,95th Red Line,56196,False,88362427,273985878,4 -713,,1,N/A,81840,2026-02-19,2026-02-19 23:38:59 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8475,20260219 23:38,41.88518142700195,-87.6222915649414,353,7107,6,79th/South Shore,1603,False,22224104,273988766,6 -164,,1,N/A,85260,2026-02-19,2026-02-19 23:38:59 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8498,20260219 23:38,41.83343505859375,-87.60765838623047,163,7107,6,79th/South Shore,26515,False,22224102,273988764,6 -161,,1,N/A,83400,2026-02-19,2026-02-19 23:38:59 CST,"1,2,3,4,X4,N5,6,7,8,8A"
4083,20260219 23:38,41.77744512557983,-87.58633937835694,178,7107,6,79th/South Shore,50482,False,22224101,273988763,6 -158,,1,N/A,82410,2026-02-19,2026-02-19 23:38:59 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8001,20260219 23:38,41.75201416015625,-87.54534606933593,265,7107,6,79th/South Shore,69143,False,22224100,273988768,6 -165,,1,N/A,81480,2026-02-19,2026-02-19 23:38:59 CST,"1,2,3,4,X4,N5,6,7,8,8A"
4304,20260219 23:38,41.787400891703946,-87.58661651611328,357,14134,6,Wacker/Columbus,22056,False,22224106,273988908,6 -166,,1,N/A,83910,2026-02-19,2026-02-19 23:38:59 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8444,20260219 23:38,41.88095474243164,-87.62422943115234,2,14134,6,Wacker/Columbus,61312,False,22224106,273988724,6 -152,,1,N/A,82590,2026-02-19,2026-02-19 23:38:59 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8398,20260219 23:38,41.9319098336356,-87.64898742191376,178,9368,8,79th,6987,False,1078431,273991422,8 -761,,1,N/A,84540,2026-02-19,2026-02-19 23:38:59 CST,"1,2,3,4,X4,N5,6,7,8,8A"
