vid,tmstmp,rt,des,lat,lon,pdist,dly,matched_trip_id,prev_stop_name,next_stop_name,scheduled_arrival_next_minutes,delay_minutes,on_time_status,dist_from_next_stop_km,time_match_score_minutes,is_ghost,ghost_score,ghost_frozen,ghost_jump
1007,2026-02-19 23:38:00,79,Ford City,41.75489807128906,-87.73253631591797,58681,False,6770042248020,King Drive & 59th Street,King Drive & 60th Street,1419.050048828125,-1.1,early,10.269,1.05,False,0,False,False
1007,2026-02-19 23:39:00,79,Ford City,41.756141662597656,-87.73239135742188,59165,False,6770043123020,Michigan & Balbo,Michigan & Ida B Wells Drive,1417.38330078125,1.6,on_time,16.025,0.86,False,0,False,False
1007,2026-02-19 23:40:00,79,Lakefront,41.755924224853516,-87.73309326171875,0,False,6770014570020,Fairbanks & Erie,Fairbanks & Superior,1415.2833251953125,4.7,on_time,18.136,2.92,False,1,False,True
1020,2026-02-19 23:38:00,76,Harlem,41.93118667602539,-87.77283732096355,41131,False,6770015156020,Michigan & 9th Street,Michigan & 11th Street,1418.38330078125,-0.4,on_time,14.101,0.21,False,0,False,False
1020,2026-02-19 23:39:00,76,Harlem,41.931147926732116,-87.77532958984375,41806,False,6770038772070,McCormick Place,King Drive & 25th Street,1418.550048828125,0.4,on_time,16.027,1.33,False,0,False,False
1020,2026-02-19 23:40:00,76,Harlem,41.93110949652536,-87.7784367970058,42648,False,6770035767070,King Drive & 48th Street,King Drive & 49th Street,1415.5999755859375,4.4,on_time,19.349,2.53,False,0,False,False
1033,2026-02-19 23:38:00,85,Harrison,41.974525451660156,-87.76671123504639,5144,False,6770037163010,King Drive & 25th Street,McCormick Place,1419.7667236328125,-1.8,early,18.349,1.47,False,0,False,False
1033,2026-02-19 23:39:00,85,Harrison,41.972435873062885,-87.76480602827229,6066,False,6770031275020,Michigan & 98th Street,State & 95th Street,1421.0,-2.0,early,30.26,2.21,False,0,False,False
1033,2026-02-19 23:40:00,85,Harrison,41.970634093651405,-87.76321220397949,6854,False,6770012057020,Michigan & Jackson,Michigan & Monroe,1415.683349609375,4.3,on_time,15.243,3.21,False,0,False,False
1039,2026-02-19 23:38:00,77,Diversey/Lake Shore,41.93941518238613,-87.69601862771171,37849,False,6770015144010,Cottage Grove & 56th Street,Cottage Grove & 55th Street,1420.11669921875,-2.1,early,17.674,1.99,False,0,False,False
