rt,n,agreement_pct,fp_count,fn_count
65,4,75.0,0,1
77,15,80.0,3,0
60,7,85.7,1,0
119,8,100.0,0,0
62,6,100.0,0,0
63,8,100.0,0,0
66,28,100.0,0,0
67,11,100.0,0,0
70,6,100.0,0,0
71,15,100.0,0,0
72,15,100.0,0,0
74,15,100.0,0,0
75,3,100.0,0,0
76,12,100.0,0,0
79,20,100.0,0,0
8,15,100.0,0,0
80,19,100.0,0,0
81,10,100.0,0,0
82,14,100.0,0,0
85,10,100.0,0,0
87,11,100.0,0,0
8A,3,100.0,0,0
9,15,100.0,0,0
90,3,100.0,0,0
94,15,100.0,0,0
6,11,100.0,0,0
95,6,100.0,0,0
55,7,100.0,0,0
54,6,100.0,0,0
12,7,100.0,0,0
126,2,100.0,0,0
146,11,100.0,0,0
147,4,100.0,0,0
15,5,100.0,0,0
151,11,100.0,0,0
155,6,100.0,0,0
20,7,100.0,0,0
21,7,100.0,0,0
22,14,100.0,0,0
28,6,100.0,0,0
54B,4,100.0,0,0
29,7,100.0,0,0
34,6,100.0,0,0
35,6,100.0,0,0
36,10,100.0,0,0
4,14,100.0,0,0
47,3,100.0,0,0
49,20,100.0,0,0
49B,4,100.0,0,0
50,4,100.0,0,0
52,4,100.0,0,0
53,13,100.0,0,0
53A,6,100.0,0,0
3,11,100.0,0,0
J14,4,100.0,0,0
