,route_id,overall_n_obs,overall_delay_mean,overall_delay_median,overall_delay_std,overall_delay_p90,overall_early_pct,overall_on_time_pct,overall_otp_pct,overall_late_pct,overall_very_late_pct,overall_n_trips,early_morning_n_obs,am_peak_n_obs,midday_n_obs,pm_peak_n_obs,evening_n_obs,early_morning_delay_mean,am_peak_delay_mean,midday_delay_mean,pm_peak_delay_mean,evening_delay_mean,early_morning_delay_median,am_peak_delay_median,midday_delay_median,pm_peak_delay_median,evening_delay_median,early_morning_delay_std,am_peak_delay_std,midday_delay_std,pm_peak_delay_std,evening_delay_std,early_morning_delay_p90,am_peak_delay_p90,midday_delay_p90,pm_peak_delay_p90,evening_delay_p90,early_morning_early_pct,am_peak_early_pct,midday_early_pct,pm_peak_early_pct,evening_early_pct,early_morning_on_time_pct,am_peak_on_time_pct,midday_on_time_pct,pm_peak_on_time_pct,evening_on_time_pct,early_morning_otp_pct,am_peak_otp_pct,midday_otp_pct,pm_peak_otp_pct,evening_otp_pct,early_morning_late_pct,am_peak_late_pct,midday_late_pct,pm_peak_late_pct,evening_late_pct,early_morning_very_late_pct,am_peak_very_late_pct,midday_very_late_pct,pm_peak_very_late_pct,evening_very_late_pct,n_ghost_trips,ghost_rate_pct
0,169,2762.0,4.73,3.7,5.51,11.69,8.98,36.6,45.58,54.42,4.38,84,149.0,894.0,491.0,624.0,604.0,3.2,5.28,7.09,4.45,2.65,2.2,3.6,6.8,4.0,2.1,5.01,6.86,4.14,5.58,2.67,9.1,13.57,13.3,11.87,6.2,15.44,11.97,0.61,13.62,4.97,37.58,35.23,16.9,30.13,61.09,53.02,47.2,17.52,43.75,66.06,46.98,52.8,82.48,56.25,33.94,0.0,8.72,3.46,4.17,0.0,18,17.65
1,62,103926.0,4.7,3.0,8.0,14.2,16.78,33.86,50.64,49.36,8.76,2044,10346.0,22744.0,27123.0,26322.0,17391.0,9.91,3.89,4.77,3.88,3.76,3.3,2.7,3.6,3.0,2.3,13.84,5.71,7.26,7.4,6.5,34.1,11.8,14.5,13.3,11.7,10.1,15.81,17.39,20.36,15.67,37.27,36.8,29.33,30.19,40.62,47.37,52.61,46.71,50.55,56.29,52.63,47.39,53.29,49.45,43.71,25.31,4.59,8.97,7.36,6.16,644,23.96
2,201,25155.0,3.62,2.4,5.11,10.0,11.62,43.36,54.98,45.02,2.94,841,535.0,7244.0,7379.0,7623.0,2374.0,-0.05,2.74,3.64,4.1,5.55,-0.4,1.6,2.6,3.1,3.65,1.87,4.26,5.1,4.77,7.51,2.6,8.8,9.4,10.3,15.0,30.47,14.55,11.75,7.94,9.86,61.5,48.18,41.88,41.43,35.43,91.96,62.73,53.63,49.36,45.28,8.04,37.27,46.37,50.64,54.72,0.0,1.57,2.66,2.58,9.77,62,6.87
3,171,8280.0,6.55,1.7,11.46,27.6,17.31,40.66,57.97,42.03,17.98,832,,2585.0,2664.0,2752.0,279.0,,0.59,3.2,14.72,13.33,,0.1,1.0,11.5,8.8,,3.5,7.99,13.42,16.08,,5.3,7.67,33.99,38.9,,29.48,15.32,8.25,12.9,,51.33,57.96,15.59,24.01,,80.81,73.27,23.84,36.92,,19.19,26.73,76.16,63.08,,0.0,7.17,43.71,34.05,165,16.55
4,50,99669.0,2.71,1.5,5.48,10.1,21.84,40.09,61.92,38.08,2.98,1991,2326.0,24168.0,27792.0,26879.0,18504.0,-0.19,2.52,2.69,3.92,1.6,-1.0,1.3,1.7,2.9,0.6,3.16,5.01,4.83,6.51,5.17,3.95,9.6,9.2,12.4,8.1,47.98,22.45,19.74,18.14,26.28,40.76,41.97,41.93,32.65,45.58,88.74,64.42,61.67,50.79,71.86,11.26,35.58,38.33,49.21,28.14,0.0,2.6,1.9,5.57,1.7,217,9.83
5,206,4642.0,2.78,1.7,4.94,9.0,15.88,46.79,62.67,37.33,3.4,204,,1565.0,445.0,2632.0,,,1.25,2.26,3.78,,,1.0,0.6,2.3,,,2.86,4.61,5.67,,,5.1,10.0,11.89,,,19.62,13.93,13.98,,,53.93,54.61,41.22,,,73.55,68.54,55.21,,,26.45,31.46,44.79,,,0.0,0.0,6.0,,26,11.3
6,54B,42858.0,2.96,1.6,6.19,10.4,19.56,44.25,63.81,36.19,5.34,1490,1862.0,9456.0,11781.0,11242.0,8517.0,1.28,0.8,2.78,5.43,2.71,1.1,0.2,1.8,3.4,1.5,3.24,4.18,5.2,7.88,6.18,4.9,5.3,9.3,16.5,9.2,18.15,29.46,17.83,13.53,19.23,59.67,50.75,43.9,34.28,47.29,77.82,80.21,61.73,47.81,66.53,22.18,19.79,38.27,52.19,33.47,0.91,1.45,3.24,11.96,4.81,107,6.7
7,65,78387.0,2.57,1.1,6.16,10.5,27.01,37.26,64.27,35.73,4.77,1977,1897.0,18955.0,19438.0,24065.0,14032.0,0.58,3.3,1.92,2.73,2.47,0.2,1.4,0.6,1.5,1.1,2.56,6.87,5.79,6.22,5.74,3.7,12.6,9.0,10.8,9.6,23.83,23.84,31.12,27.76,24.74,63.26,37.95,37.48,32.07,41.39,87.08,61.79,68.61,59.83,66.13,12.92,38.21,31.39,40.17,33.87,0.0,7.53,3.7,4.07,4.38,219,9.97
8,54A,13772.0,2.13,1.2,5.3,8.8,24.94,39.63,64.57,35.43,2.58,402,18.0,5856.0,1714.0,6126.0,58.0,-1.75,1.68,1.76,2.64,5.33,-2.0,0.8,0.9,2.2,2.6,0.73,5.11,5.12,5.44,8.9,-1.0,7.5,6.77,9.6,17.2,66.67,25.34,25.5,24.19,34.48,33.33,47.47,43.41,31.29,18.97,100.0,72.81,68.9,55.48,53.45,0.0,27.19,31.1,44.52,46.55,0.0,3.02,2.51,1.98,24.14,10,2.43
9,165,2369.0,2.61,1.3,5.23,8.2,14.01,52.34,66.36,33.64,2.91,163,94.0,1337.0,90.0,848.0,,-0.14,2.96,0.52,2.59,,-0.05,1.9,0.15,1.1,,1.99,5.37,1.8,5.36,,1.8,8.6,2.06,8.6,,18.09,14.29,11.11,13.44,,78.72,45.18,81.11,57.67,,96.81,59.46,92.22,71.11,,3.19,40.54,7.78,28.89,,0.0,1.94,0.0,5.07,,27,14.21
